event_idx,group,day,date,start_time,end_time,duration_sec,behavior,initiator_id,receiver_id,ended_by,pen_location,linked,camera_id,video_filename,video_path,event_offset_sec
0,1,1,,06:00:25,06:00:27,2,ear,5681,5684,initiator,middle,True,7,N884A6_ch7_main_20240706053001_20240706060001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706053001_20240706060001.mp4,1824.0
1,1,1,,06:00:33,06:00:34,1,ear,5681,5684,receiver,middle,True,7,N884A6_ch7_main_20240706053001_20240706060001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706053001_20240706060001.mp4,1832.0
2,1,1,,06:10:54,06:10:59,5,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,653.0
3,1,1,,06:11:05,06:11:11,6,ear,5682,5680,interrupted,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,664.0
4,1,1,,06:11:18,06:11:20,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,677.0
5,1,1,,06:14:43,06:14:46,3,ear,5684,5681,initiator,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,882.0
6,1,1,,06:16:50,06:16:53,3,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1009.0
7,1,1,,06:17:43,06:17:56,13,ear,5684,5682,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1062.0
8,1,1,,06:24:16,06:24:16,1,tail,5684,5681,initiator,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1455.0
9,1,1,,06:24:23,06:24:25,2,ear,5683,5681,receiver,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1462.0
10,1,1,,06:26:06,06:26:13,7,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1565.0
11,1,1,,06:26:17,06:26:18,1,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1576.0
12,1,1,,06:31:08,06:31:10,2,ear,5684,5683,receiver,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,67.0
13,1,1,,06:32:40,06:32:55,15,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,159.0
14,1,1,,06:32:57,06:33:03,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,176.0
15,1,1,,06:35:49,06:35:49,1,tail,5681,5683,initiator,back,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,348.0
16,1,1,,06:38:32,06:38:38,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,511.0
17,1,1,,06:38:40,06:38:42,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,519.0
18,1,1,,06:38:48,06:38:55,7,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,527.0
19,1,1,,06:39:01,06:39:07,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,540.0
20,1,1,,06:39:32,06:39:32,1,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,571.0
21,1,1,,06:40:13,06:40:14,1,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,612.0
22,1,1,,06:42:14,06:42:16,2,ear,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,733.0
23,1,1,,06:42:23,06:42:40,17,ear,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,742.0
24,1,1,,06:42:45,06:42:45,1,ear,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,764.0
25,1,1,,06:43:13,06:43:13,1,ear,5683,5680,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,792.0
26,1,1,,06:43:25,06:43:32,7,ear,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,804.0
27,1,1,,06:48:05,06:48:06,1,ear,5683,5684,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1084.0
28,1,1,,06:54:42,06:54:50,8,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1481.0
29,1,1,,06:54:52,06:54:53,1,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1491.0
30,1,1,,06:54:54,06:54:56,2,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1493.0
31,1,1,,06:55:03,06:55:05,2,tail,5684,5682,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1502.0
32,1,1,,06:55:28,06:55:30,2,ear,5681,5683,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1527.0
33,1,1,,06:56:41,06:56:41,1,tail,5681,5680,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1600.0
34,1,1,,07:00:29,07:00:30,1,ear,5683,5684,receiver,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1828.0
35,1,1,,07:02:43,07:02:45,2,ear,5681,5684,receiver,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,162.0
36,1,1,,07:05:45,07:05:46,1,ear,5681,5680,receiver,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,344.0
37,1,1,,07:05:47,07:05:49,2,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,346.0
38,1,1,,07:06:22,07:06:23,1,ear,5682,5683,receiver,front,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,381.0
39,1,1,,07:07:40,07:07:55,15,ear,5684,5683,receiver,back,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,459.0
40,1,1,,07:18:53,19:04:00,11,ear,5684,5680,receiver,front,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1132.0
41,1,1,,07:19:24,07:19:27,3,ear,5681,5682,initiator,front,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1163.0
42,1,1,,07:19:45,07:19:46,1,ear,5681,5682,initiator,front,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1184.0
43,1,1,,07:21:13,07:21:16,3,ear,5684,5682,receiver,front,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1272.0
44,1,1,,07:21:34,07:21:40,6,tail,5684,5681,initiator,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1293.0
45,1,1,,07:23:26,07:23:27,1,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1405.0
46,1,1,,07:23:34,07:23:36,2,ear,5682,5683,receiver,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1413.0
47,1,1,,07:23:35,07:23:56,21,ear,5684,5683,receiver,back,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1414.0
48,1,1,,07:23:57,07:24:02,5,ear,5684,5683,receiver,back,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1436.0
49,1,1,,07:24:34,07:24:36,2,tail,5684,5683,initiator,front,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1473.0
50,1,1,,07:26:09,07:26:16,7,ear,5681,5680,initiator,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1568.0
51,1,1,,07:27:45,07:27:56,11,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1664.0
52,1,1,,07:28:00,07:28:01,1,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1679.0
53,1,1,,07:28:11,07:28:34,23,ear,5684,5680,receiver,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1690.0
54,1,1,,07:28:31,07:28:34,3,tail,5682,5680,initiator,middle,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,1710.0
55,1,1,,07:31:24,07:31:25,1,tail,5683,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,83.0
56,1,1,,07:31:32,07:31:33,1,tail,5683,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,91.0
57,1,1,,07:31:39,07:31:57,18,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,98.0
58,1,1,,07:32:05,07:32:24,19,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,124.0
59,1,1,,07:32:33,07:32:35,2,ear,5684,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,152.0
60,1,1,,07:33:15,07:33:17,2,tail,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,194.0
61,1,1,,07:33:21,07:33:25,4,tail,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,200.0
62,1,1,,07:33:32,07:33:35,3,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,211.0
63,1,1,,07:35:11,07:35:12,1,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,310.0
64,1,1,,07:35:33,07:35:34,1,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,332.0
65,1,1,,07:35:37,07:35:39,2,ear,5682,5681,initiator,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,336.0
66,1,1,,07:36:32,07:36:40,8,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,391.0
67,1,1,,07:36:56,07:36:59,3,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,415.0
68,1,1,,07:41:22,07:41:29,7,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,681.0
