event_idx,group,day,date,start_time,end_time,duration_sec,behavior,initiator_id,receiver_id,ended_by,pen_location,linked,camera_id,video_filename,video_path,event_offset_sec
930,2,4,2024-07-17,11:30:31,11:30:46,15,ear,5687,5688,receiver,middle,True,16,N884A6_ch16_main_20240717113003_20240717120003.mp4,E:\Downey cross-sucking videos 2024\Group 2 Day 4\Cam 16\N884A6_ch16_main_20240717113003_20240717120003.mp4,28.0
395,1,4,2024-07-09,08:01:42,08:01:44,2,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240709080000_20240709083000.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 7\N884A6_ch7_main_20240709080000_20240709083000.mp4,102.0
78,1,1,,07:46:51,07:46:57,6,ear,5682,5681,receiver,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,1010.0
1132,3,4,2024-08-05,06:48:38,06:48:38,1,ear,5692,5693,initiator,back,True,16,N884A6_ch16_main_20240805063003_20240805070004.mp4,E:\Downey cross-sucking videos 2024\Group 3 Day 4\Cam 16\N884A6_ch16_main_20240805063003_20240805070004.mp4,1115.0
464,1,4,2024-07-09,11:08:54,11:08:58,4,ear,5681,5682,initiator,front,True,7,N884A6_ch7_main_20240709110000_20240709113000.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 7\N884A6_ch7_main_20240709110000_20240709113000.mp4,534.0
253,1,1,,15:37:18,15:37:21,3,ear,5682,5680,receiver,front,True,7,N884A6_ch7_main_20240706153001_20240706160001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706153001_20240706160001.mp4,437.0
1279,3,4,2024-08-05,16:39:48,16:39:52,4,ear,5692,5693,initiator,middle,True,16,N884A6_ch16_main_20240805163003_20240805170003.mp4,E:\Downey cross-sucking videos 2024\Group 3 Day 4\Cam 16\N884A6_ch16_main_20240805163003_20240805170003.mp4,585.0
98,1,1,,08:28:59,08:29:00,1,ear,5683,5680,receiver,front,True,7,N884A6_ch7_main_20240706080001_20240706083001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706080001_20240706083001.mp4,1738.0
641,1,4,2024-07-09,16:24:06,16:24:12,6,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240709160000_20240709163000.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 7\N884A6_ch7_main_20240709160000_20240709163000.mp4,1446.0
1164,3,4,2024-08-05,09:02:03,09:02:22,19,ear,5693,5694,initiator,back,True,16,N884A6_ch16_main_20240805090004_20240805093003.mp4,E:\Downey cross-sucking videos 2024\Group 3 Day 4\Cam 16\N884A6_ch16_main_20240805090004_20240805093003.mp4,119.0
623,1,4,2024-07-09,16:09:05,16:09:15,10,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240709160000_20240709163000.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 4\Cam 7\N884A6_ch7_main_20240709160000_20240709163000.mp4,545.0
