event_idx,group,day,date,start_time,end_time,duration_sec,behavior,initiator_id,receiver_id,ended_by,pen_location,linked,camera_id,video_filename,video_path,event_offset_sec,video_id,_primary_label,calc_offset_sec,duration_sec_fixed,duration_was_fixed,verify_ok,verify_reason
0,1,1,,06:00:25,06:00:27,2,ear,5681,5684,initiator,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,24.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,24.0,2.0,False,True,ok
1,1,1,,06:00:33,06:00:34,1,ear,5681,5684,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,32.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,32.0,1.0,False,True,ok
2,1,1,,06:10:54,06:10:59,5,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,653.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,653.0,5.0,False,True,ok
3,1,1,,06:11:05,06:11:11,6,ear,5682,5680,interrupted,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,664.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,664.0,6.0,False,True,ok
4,1,1,,06:11:18,06:11:20,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,677.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,677.0,2.0,False,True,ok
5,1,1,,06:14:43,06:14:46,3,ear,5684,5681,initiator,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,882.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,882.0,3.0,False,True,ok
6,1,1,,06:16:50,06:16:53,3,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1009.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,1009.0,3.0,False,True,ok
7,1,1,,06:17:43,06:17:56,13,ear,5684,5682,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1062.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,1062.0,13.0,False,True,ok
8,1,1,,06:24:16,06:24:16,0,tail,5684,5681,initiator,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1455.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,1455.0,1.0,True,True,ok
9,1,1,,06:24:23,06:24:25,2,ear,5683,5681,receiver,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1462.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,1462.0,2.0,False,True,ok
10,1,1,,06:26:06,06:26:13,7,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1565.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,1565.0,7.0,False,True,ok
11,1,1,,06:26:17,06:26:18,1,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706060001_20240706063001.mp4,1576.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown,1576.0,1.0,False,True,ok
12,1,1,,06:31:08,06:31:10,2,ear,5684,5683,receiver,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,67.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,67.0,2.0,False,True,ok
13,1,1,,06:32:40,06:32:55,15,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,159.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,159.0,15.0,False,True,ok
14,1,1,,06:32:57,06:33:03,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,176.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,176.0,6.0,False,True,ok
15,1,1,,06:35:49,06:35:49,0,tail,5681,5683,initiator,back,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,348.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,348.0,1.0,True,True,ok
16,1,1,,06:38:32,06:38:38,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,511.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,511.0,6.0,False,True,ok
17,1,1,,06:38:40,06:38:42,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,519.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,519.0,2.0,False,True,ok
18,1,1,,06:38:48,06:38:55,7,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,527.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,527.0,7.0,False,True,ok
19,1,1,,06:39:01,06:39:07,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,540.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,540.0,6.0,False,True,ok
20,1,1,,06:39:32,06:39:32,0,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,571.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,571.0,1.0,True,True,ok
21,1,1,,06:40:13,06:40:14,1,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,612.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,612.0,1.0,False,True,ok
22,1,1,,06:42:14,06:42:16,2,ear,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,733.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,733.0,2.0,False,True,ok
23,1,1,,06:42:23,06:42:40,17,ear,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,742.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,742.0,17.0,False,True,ok
24,1,1,,06:42:45,06:42:45,0,ear,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,764.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,764.0,1.0,True,True,ok
25,1,1,,06:43:13,06:43:13,0,ear,5683,5680,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,792.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,792.0,1.0,True,True,ok
26,1,1,,06:43:25,06:43:32,7,ear,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,804.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,804.0,7.0,False,True,ok
27,1,1,,06:48:05,06:48:06,1,ear,5683,5684,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1084.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,1084.0,1.0,False,True,ok
28,1,1,,06:54:42,06:54:50,8,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1481.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,1481.0,8.0,False,True,ok
29,1,1,,06:54:52,06:54:53,1,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1491.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,1491.0,1.0,False,True,ok
30,1,1,,06:54:54,06:54:56,2,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1493.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,1493.0,2.0,False,True,ok
31,1,1,,06:55:03,06:55:05,2,tail,5684,5682,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1502.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,1502.0,2.0,False,True,ok
32,1,1,,06:55:28,06:55:30,2,ear,5681,5683,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1527.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,1527.0,2.0,False,True,ok
33,1,1,,06:56:41,06:56:41,0,tail,5681,5680,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706063001_20240706070001.mp4,1600.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown,1600.0,1.0,True,True,ok
34,1,1,,07:00:29,07:00:30,1,ear,5683,5684,receiver,front,True,7,N884A6_ch7_main_20240706070001_20240706073001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706070001_20240706073001.mp4,28.0,n884a6_ch7_main_20240706070001_20240706073001.mp4,unknown,28.0,1.0,False,True,ok
55,1,1,,07:31:24,07:31:25,1,tail,5683,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,83.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,83.0,1.0,False,True,ok
56,1,1,,07:31:32,07:31:33,1,tail,5683,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,91.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,91.0,1.0,False,True,ok
57,1,1,,07:31:39,07:31:57,18,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,98.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,98.0,18.0,False,True,ok
58,1,1,,07:32:05,07:32:24,19,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,124.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,124.0,19.0,False,True,ok
59,1,1,,07:32:33,07:32:35,2,ear,5684,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,152.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,152.0,2.0,False,True,ok
60,1,1,,07:33:15,07:33:17,2,tail,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,194.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,194.0,2.0,False,True,ok
61,1,1,,07:33:21,07:33:25,4,tail,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,200.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,200.0,4.0,False,True,ok
62,1,1,,07:33:32,07:33:35,3,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,211.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,211.0,3.0,False,True,ok
63,1,1,,07:35:11,07:35:12,1,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,310.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,310.0,1.0,False,True,ok
64,1,1,,07:35:33,07:35:34,1,ear,5684,5680,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,332.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,332.0,1.0,False,True,ok
65,1,1,,07:35:37,07:35:39,2,ear,5682,5681,initiator,front,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,336.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,336.0,2.0,False,True,ok
66,1,1,,07:36:32,07:36:40,8,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,391.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,391.0,8.0,False,True,ok
67,1,1,,07:36:56,07:36:59,3,ear,5684,5683,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,415.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,415.0,3.0,False,True,ok
68,1,1,,07:41:22,07:41:29,7,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,681.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,681.0,7.0,False,True,ok
69,1,1,,07:41:53,07:41:56,3,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,712.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,712.0,3.0,False,True,ok
70,1,1,,07:42:54,07:43:03,9,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,773.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,773.0,9.0,False,True,ok
71,1,1,,07:43:03,07:43:05,2,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,782.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,782.0,2.0,False,True,ok
72,1,1,,07:43:13,07:43:16,3,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 7\N884A6_ch7_main_20240706073001_20240706080001.mp4,792.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown,792.0,3.0,False,True,ok
