event_idx,group,day,date,start_time,end_time,duration_sec,behavior,initiator_id,receiver_id,ended_by,pen_location,linked,camera_id,video_filename,video_path,event_offset_sec
0,1,1,7/6/2024,6:00:25,6:00:27,2,ear,5681,5684,initiator,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,23.0
1,1,1,7/6/2024,6:00:33,6:00:34,1,ear,5681,5684,receiver,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,31.0
2,1,1,7/6/2024,6:10:54,6:10:59,5,ear,5682,5680,receiver,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,652.0
3,1,1,7/6/2024,6:11:05,6:11:11,6,ear,5682,5680,interrupted,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,663.0
4,1,1,7/6/2024,6:11:18,6:11:20,2,ear,5682,5681,initiator,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,676.0
5,1,1,7/6/2024,6:14:43,6:14:46,3,ear,5684,5681,initiator,back,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,881.0
6,1,1,7/6/2024,6:16:50,6:16:53,3,ear,5682,5681,receiver,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,1008.0
7,1,1,7/6/2024,6:17:43,6:17:56,13,ear,5684,5682,receiver,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,1061.0
8,1,1,7/6/2024,6:24:16,6:24:16,0,tail,5684,5681,initiator,back,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,1454.0
9,1,1,7/6/2024,6:24:23,6:24:25,2,ear,5683,5681,receiver,back,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,1461.0
10,1,1,7/6/2024,6:26:06,6:26:13,7,ear,5682,5681,initiator,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,1564.0
11,1,1,7/6/2024,6:26:17,6:26:18,1,ear,5682,5681,receiver,middle,True,8,N884A6_ch8_main_20240706060002_20240706063002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706060002_20240706063002.mp4,1575.0
12,1,1,7/6/2024,6:31:08,6:31:10,2,ear,5684,5683,receiver,front,True,8,N884A6_ch8_main_20240706063002_20240706070002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706063002_20240706070002.mp4,66.0
13,1,1,7/6/2024,6:32:40,6:32:55,15,ear,5682,5680,receiver,middle,True,8,N884A6_ch8_main_20240706063002_20240706070002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706063002_20240706070002.mp4,158.0
14,1,1,7/6/2024,6:32:57,6:33:03,6,ear,5682,5681,receiver,middle,True,8,N884A6_ch8_main_20240706063002_20240706070002.mp4,E:\Downey cross-sucking videos 2024\Group 1 Day 1\Cam 8\N884A6_ch8_main_20240706063002_20240706070002.mp4,175.0
