event_idx,group,day,date,start_time,end_time,duration_sec,behavior,initiator_id,receiver_id,ended_by,pen_location,linked,camera_id,video_filename,video_path,event_offset_sec,video_id,_primary_label
0,1,1,,06:00:25,06:00:27,2,ear,5681,5684,initiator,middle,True,7,N884A6_ch7_main_20240706053001_20240706060001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706053001_20240706060001.mp4,1824.0,n884a6_ch7_main_20240706053001_20240706060001.mp4,unknown
1,1,1,,06:00:33,06:00:34,1,ear,5681,5684,receiver,middle,True,7,N884A6_ch7_main_20240706053001_20240706060001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706053001_20240706060001.mp4,1832.0,n884a6_ch7_main_20240706053001_20240706060001.mp4,unknown
2,1,1,,06:10:54,06:10:59,5,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,653.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
3,1,1,,06:11:05,06:11:11,6,ear,5682,5680,interrupted,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,664.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
4,1,1,,06:11:18,06:11:20,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,677.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
5,1,1,,06:14:43,06:14:46,3,ear,5684,5681,initiator,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,882.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
6,1,1,,06:16:50,06:16:53,3,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,1009.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
7,1,1,,06:17:43,06:17:56,13,ear,5684,5682,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,1062.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
8,1,1,,06:24:16,06:24:16,0,tail,5684,5681,initiator,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,1455.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
9,1,1,,06:24:23,06:24:25,2,ear,5683,5681,receiver,back,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,1462.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
10,1,1,,06:26:06,06:26:13,7,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,1565.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
11,1,1,,06:26:17,06:26:18,1,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706060001_20240706063001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706060001_20240706063001.mp4,1576.0,n884a6_ch7_main_20240706060001_20240706063001.mp4,unknown
12,1,1,,06:31:08,06:31:10,2,ear,5684,5683,receiver,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,67.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
13,1,1,,06:32:40,06:32:55,15,ear,5682,5680,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,159.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
14,1,1,,06:32:57,06:33:03,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,176.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
15,1,1,,06:35:49,06:35:49,0,tail,5681,5683,initiator,back,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,348.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
16,1,1,,06:38:32,06:38:38,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,511.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
17,1,1,,06:38:40,06:38:42,2,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,519.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
18,1,1,,06:38:48,06:38:55,7,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,527.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
19,1,1,,06:39:01,06:39:07,6,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,540.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
20,1,1,,06:39:32,06:39:32,0,ear,5682,5681,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,571.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
21,1,1,,06:40:13,06:40:14,1,ear,5682,5681,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,612.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
22,1,1,,06:42:14,06:42:16,2,ear,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,733.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
23,1,1,,06:42:23,06:42:40,17,ear,5682,5684,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,742.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
24,1,1,,06:42:45,06:42:45,0,ear,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,764.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
25,1,1,,06:43:13,06:43:13,0,ear,5683,5680,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,792.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
26,1,1,,06:43:25,06:43:32,7,ear,5682,5684,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,804.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
27,1,1,,06:48:05,06:48:06,1,ear,5683,5684,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,1084.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
28,1,1,,06:54:42,06:54:50,8,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,1481.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
29,1,1,,06:54:52,06:54:53,1,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,1491.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
30,1,1,,06:54:54,06:54:56,2,ear,5684,5683,receiver,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,1493.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
31,1,1,,06:55:03,06:55:05,2,tail,5684,5682,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,1502.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
32,1,1,,06:55:28,06:55:30,2,ear,5681,5683,initiator,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,1527.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
33,1,1,,06:56:41,06:56:41,0,tail,5681,5680,initiator,middle,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,1600.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
34,1,1,,07:00:29,07:00:30,1,ear,5683,5684,receiver,front,True,7,N884A6_ch7_main_20240706063001_20240706070001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706063001_20240706070001.mp4,1828.0,n884a6_ch7_main_20240706063001_20240706070001.mp4,unknown
55,1,1,,07:31:24,07:31:25,1,tail,5683,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,83.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
56,1,1,,07:31:32,07:31:33,1,tail,5683,5684,initiator,middle,True,7,N884A6_ch7_main_20240706073001_20240706080001.mp4,E:/Downey cross-sucking videos 2024/Group 1 Day 1/Cam 7/N884A6_ch7_main_20240706073001_20240706080001.mp4,91.0,n884a6_ch7_main_20240706073001_20240706080001.mp4,unknown
