path,h1,h2,h3,nframes,fps,size,hash_bits,n_hashes,valid
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706043000_20240706050001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706050001_20240706053001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706053001_20240706060001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706060001_20240706063001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706063001_20240706070001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706070001_20240706073001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706073001_20240706080001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706080001_20240706083001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706083001_20240706090001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706090001_20240706093001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
/lustre/isaac24/scratch/eopoku2/downey_cross_sucking_videos_2024/Group 1 Day 1/._N884A6_ch7_main_20240706093001_20240706100001.mp4,-1,-1,-1,-1,-1.0,4096,256,3,False
